feature,mean_abs_shap
frequency_score,0.3807275141342874
dormant_flag,0.27115895740699264
newsletter_subscribed,0.18829681316250668
churn_risk_score,0.16793802184127624
engagement_score,0.16525192963135332
recency_score,0.16211838366794132
membership_tier,0.1445299407590809
pct_discounted_orders,0.1424245250391995
total_orders,0.09315803468094269
total_spend_usd,0.09299262806121905
rfm_score,0.08901755960950576
monetary_score,0.06984993488316743
avg_order_value_usd,0.0663542254697715
return_rate,0.06378314049454226
customer_tenure_days,0.06343953225860756
reviews_given,0.05994177406300022
tier_rank,0.053059362598579074
preferred_device,0.049528295329312334
days_since_last_purchase,0.048172039715795714
avg_session_mins,0.043545622834268174
avg_review_score,0.04259274577050427
returns_made,0.035154083958232614
age,0.03056436930865501
preferred_category,0.029826577569727186
acquisition_channel,0.02419194425220525
avg_pages_viewed,0.022937032826758706
high_return_flag,0.01837034656000618
gender,0.015663777573015732
preferred_payment_method,0.015256739297464074
wishlist_items,0.008404255033439233
low_satisfaction_flag,0.00782235249643657
unique_categories,0.006965854169562027
